head_coach,Location_Cluster,goal_scored_vs_shots_taken,total_goals,pct_goals,total_shots,pct_shots
David Quinn,0,1.951219512195122,4,4.878048780487805,205,13.814016172506738
David Quinn,1,9.123434704830053,51,62.19512195121951,559,37.668463611859835
David Quinn,2,3.0,6,7.317073170731707,200,13.477088948787062
David Quinn,3,3.557312252964427,9,10.975609756097562,253,17.048517520215633
David Quinn,4,9.523809523809524,2,2.4390243902439024,21,1.4150943396226416
David Quinn,5,4.0650406504065035,10,12.195121951219512,246,16.576819407008088
Kris Knoblauch,0,2.0408163265306123,1,3.7037037037037033,49,16.013071895424837
Kris Knoblauch,1,14.529914529914532,17,62.96296296296296,117,38.23529411764706
Kris Knoblauch,2,6.896551724137931,2,7.4074074074074066,29,9.477124183006536
Kris Knoblauch,3,5.88235294117647,3,11.11111111111111,51,16.666666666666664
Kris Knoblauch,4,0.0,0,0.0,4,1.3071895424836601
Kris Knoblauch,5,7.142857142857142,4,14.814814814814813,56,18.30065359477124
